city,prop_desc,prop_size(lower),prop_price
london,"1 Parker Road, Croydon, CR0 1DU","1,503 ",500000
london,"Residential Development Opportunity, 165 & 167 Coombe Road, Croydon, CR0 5SQ","6,781 ",2550000
london,"B1 Office Suitable For Other Uses, Kentonian Close, Harrow, HA3 8FF",206," 1,500 "
london,"28 London Road, Enfield, EN2 6ED","1,333 ",475000
london,"Unit 8 Peerglow Estate, Queensway, Enfield, EN3 4SB","2,680 ",465000
london,"Unit 2 Mariner Business Centre, 1 Kings Way, Croydon, CR0 4GE","4,504 ",995000
london,"Workshop With Offices, Units 13 C & D, Queensway, Enfield, EN3 4SA","5,080 ",1000000
london,"8 & 8A Southbury Road, Enfield, EN1 1YT","2,024 ",725000
london,"Existing Office Block With Planning, Marston Court 98-106, Manor Road, Wallington, SM6 0DW","4,758 ",1000000
london,"Mixed Use Commercial & Residential Conversion, 9-10 The Parade, Beynon Road, Carshalton, SM5 3RL","2,242 ",795000
london,"Station Road, Harrow HA1, HA1 2RX, Greenhill, HA1 2RX","1,500 ",110000
london,"94-94a Stafford Road, Wallington, SM6 9AY","1,000 ",525000
london,"142-144 High Street, Hounslow, Middlesex, TW3 1LR","7,735 ",3570000
london,"Freehold NatWest - Former in Teddington , 6 High Street, Teddington, TW11 8EW","2,160 ",1400000
london,"54A St. Albans Road, Barnet, EN5 4LA","3,870 ",1100000
london,"Rima House, A13 Approach Unit 2, Ripple Road, Barking, IG11 0RH","30,267 ",4750000
london,"359 Brighton Road, South Croydon, CR2 6ER","1,665 ",450000
london,"Industrial Premises With Excellent Road Connection, 360 Brighton Road, South Croydon, CR2 6AL","10,836 ",1250000
london,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB","23,172 ",6372300
london,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB","16,618 ",4569950
london,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB","6,553 ",1965900
london,"17 Station Road, Sutton, SM2 6BX","1,991 ",465000
london,"Modern Air Conditioned Office Building, Unit 4, Delta Court, Manor Way, Borehamwood, WD6 1FJ","2,250 ",849000
london,"No 1 Elstree Way, Borehamwood, Borehamwood, WD6 1RN","58,000 ",12000000
london,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF","37,462 ",4500000
london,"Mixed Use A3/A4 Business Premises, 57-61 High Street, Epsom, KT17 1RX","2,539 ",900000
london,"Rear of 33, Nork Way, Banstead, SM7 1PB","1,503 ",335000
london,"Markays House, Gordon Road , EN9 1AF","18,068 ",2000000
london,"Miller House, Lea Road, Waltham Abbey, EN9 1AE","13,356 ",1800000
london,"Industrial / Warehouse Premises, 33 Lea Road, Waltham Abbey, EN9 1AJ","6,472 ",1250000
london,"Shop With Residential Planning Permission For Sale, 89 High Street, Banstead, SM7 2NL","1,167 ",425000
london,"Retail with Residential Above, 203-203a Fir Tree Road, Epsom, KT17 3LB","2,958 ",775000
london,"Retail Premises, 203 Fir Tree Road, Epsom, KT17 3LB","2,958 ",425000
london,"Ryefield Avenue, Uxbridge UB10, UB10 9DA, North Hillingdon, UB10 9DA","1,431 ",269950
london,"Unit 4 Swan Business Park, Sandpit Road, Dartford, DA1 5ED","12,195 ",2000000
london,"The Paddington Packet Boat, High Road, UB8 2HT","13,285 ",2200000
london,"Unit 15 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,825 ",440000
london,"Unit 14 & 15 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","3,565 ",860000
london,"Unit 14 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,740 ",420000
london,"Unit 6 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","3,332 ",650000
london,"Unit 24, Sarum Complex, Salisbury Road, UB8 2RZ","2,208 ",380000
london,"Unit 21 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,796 ",450000
london,"Unit 2, Polygon Business Centre, Blackthorne Road, SL3 0QT","2,849 ",780000
london,"2 Beacon Mews, South Road, Weybridge, KT13 9DZ",786," 1,370 "
london,"Horizon East & Horizon West, Randalls Way, Leatherhead, KT22 7TW","9,890 ",3150000
london,"Horseshoe Business Park, Upper Lye Lane, Park Street, AL2 3TA","10,572 ",3100000
london,"10-12 High Street, Weybridge, KT13 8AB","1,615 ",750000
london,"2 Bridge Street, Leatherhead, KT22 8BZ","2,228 ",900000
london,"Unit 1 & Unit 2 Wells Point, Wells Place, Redhill, RH1 3AS","20,883 ",275
london,"51-53 Church Street, Staines, TW18 4EN","1,012 ",625000
london,"Natwest - Former For Sale in Hatfield, Hertfordshi, 35 Town Centre, Hatfield, AL10 0JU","2,887 ",480000
london,"Unit 11, Chancerygate Business Centre, St. Mary’s Road, SL3 7FL","5,872 ",975000
london,"Towergate House, Cumberland Works, Wintersells Road, Byfleet, KT14 7LF","4,900 ",1100000
london,"Towergate House, Wintersells Road, Byfleet, KT14 7LF",915," 4,900 "
london,"6 The IO Centre Hatfield Business Park, Hatfield, AL10 9EW","12,703 ",1850000
london,"11-13 The IO Centre Hearle Way, Hatfield, AL10 9EW","2,426 ",595000
london,"Unit 15J Wintersells Industrial Estate, Wintersells Road, Byfleet, KT14 7LF","1,497 ",190000
london,"2 High Street, Great Bookham, KT23 4AF","2,416 ",675000
london,"Office Building Suitable For A Variety Of Uses, 2-4 Packhorse Road, Gerrards Cross, SL9 7QE","6,895 ",3400000
