,city,prop_size(lower),out_code,prop_price
194,reading,1448 ,GU15,350000
195,reading,2552 ,RG29,560000
196,reading,3502 ,HP12,900000
197,reading,2034 ,HP12,457500
198,reading,1874 ,HP12,450000
199,reading,3320 ,HP12,1850000
200,reading,1592 ,HP11,450000
201,reading,1964 ,HP11,1500000
202,reading,1237 ,HP11,295000
203,reading,2637 ,HP11,595000
204,reading,2770 ,HP13,695000
205,reading,1988 ,HP11,595000
206,reading,1452 ,OX11,200000
207,reading,4141 ,GU14,975000
208,reading,552,SL4, 7292 
209,reading,1065 ,HP13,295000
210,reading,3784 ,SL1,640000
211,reading,3318 ,SL1,1250000
212,reading,2849 ,GU11,425000
213,reading,1813 ,GU11,300000
214,reading,1083 ,HP9,750000
215,reading,1130 ,SL3,675000
216,reading,5872 ,SL3,975000
217,reading,2475 ,HP27,825000
218,reading,2729 ,GU10,395000
219,reading,2566 ,GU9,515000
220,reading,3307 ,HP27,545000
221,reading,1012 ,TW18,625000
222,reading,2849 ,SL3,780000
223,reading,6895 ,SL9,3400000
224,reading,2000 ,GU21,1200000
225,reading,2015 ,OX14,395000
226,reading,1012 ,OX14,200000
227,reading,1514 ,OX14,275000
228,reading,1352 ,GU34,285000
229,reading,1378 ,GU2,395000
230,reading,2000 ,GU2,60000
231,reading,1796 ,UB8,450000
232,reading,1740 ,UB8,420000
233,reading,2208 ,UB8,380000
234,reading,3332 ,UB8,650000
235,reading,3565 ,UB8,860000
236,reading,1825 ,UB8,440000
237,reading,13285 ,UB8,2200000
238,reading,1661 ,GU2,700000
239,reading,8083 ,GU1,750000
240,reading,1497 ,KT14,190000
241,reading,4900 ,KT14,1100000
242,reading,915,KT14, 4900 
243,reading,2008 ,GU1,800000
244,reading,1615 ,KT13,750000
245,reading,2312 ,OX4,485000
246,reading,1429 ,GU7,595000
247,reading,786,KT13, 1370 
248,reading,1000 ,HP5,189950
249,reading,2030 ,HP5,340000
250,reading,1431 ,UB10,269950
251,reading,1763 ,GU7,395000
252,reading,4000 ,GU7,895000
253,reading,9185 ,GU7,1850000
254,reading,37462 ,TW4,4500000
255,reading,22526 ,OX2,8500000
256,reading,16618 ,UB2,4569950
257,reading,6553 ,UB2,1965900
258,reading,23172 ,UB2,6372300
259,reading,1800 ,GU27,425000
260,reading,2160 ,TW11,1400000
261,reading,4162 ,TW1,1100000
262,reading,1760 ,GU27,495000
263,reading,3071 ,GU27,875000
264,reading,1238 ,GU27,450000
265,reading,988,GU5, 5335 
266,reading,2416 ,KT23,675000
267,reading,1595 ,GU33,265000
268,reading,11579 ,SP10,575000
269,reading,33332 ,UB6,5600000
270,reading,1921 ,UB6,500000
271,reading,1500 ,HA1,110000
272,reading,33552 ,HA0,8250000
273,reading,9890 ,KT22,3150000
274,reading,206,HA3, 1500 
275,reading,2228 ,KT22,900000
276,reading,1400 ,GU6,495000
277,oxford,2312 ,OX4,485000
278,oxford,22526 ,OX2,8500000
279,oxford,2015 ,OX14,395000
280,oxford,1012 ,OX14,200000
281,oxford,1514 ,OX14,275000
282,oxford,1452 ,OX11,200000
283,oxford,3307 ,HP27,545000
284,oxford,4632 ,HP14,435000
285,oxford,2475 ,HP27,825000
286,oxford,3320 ,HP12,1850000
287,oxford,1874 ,HP12,450000
288,oxford,2034 ,HP12,457500
289,oxford,3502 ,HP12,900000
290,oxford,1592 ,HP11,450000
291,oxford,2770 ,HP13,695000
292,oxford,1065 ,HP13,295000
293,oxford,1988 ,HP11,595000
294,oxford,12805 ,RG1,1000000
295,oxford,1964 ,HP11,1500000
296,oxford,19618 ,RG7,225
297,oxford,2637 ,HP11,595000
298,oxford,1237 ,HP11,295000
299,oxford,19618 ,RG7,225
300,oxford,25590 ,RG7,225
301,oxford,10596 ,RG4,625000
302,oxford,1061 ,RG1,650000
303,oxford,2050 ,RG7,225
304,oxford,1340 ,RG1,340000
305,oxford,10560 ,RG2,1200000
306,oxford,26692 ,RG2,4400000
307,oxford,17987 ,RG2,3200000
308,oxford,10792 ,SN4,1200000
309,oxford,3190 ,SN1,575000
310,oxford,2004 ,SN1,1000000
311,oxford,685,RG6, 2100 
312,oxford,987,RG7, 1975 
313,oxford,1000 ,HP5,189950
314,oxford,2030 ,HP5,340000
315,oxford,1083 ,HP9,750000
316,oxford,4185 ,SN8,625000
317,oxford,1721 ,RG40,500000
318,maidenhead,3784 ,SL1,640000
319,maidenhead,3318 ,SL1,1250000
320,maidenhead,552,SL4, 7292 
321,maidenhead,1130 ,SL3,675000
322,maidenhead,5872 ,SL3,975000
323,maidenhead,1083 ,HP9,750000
324,maidenhead,3502 ,HP12,900000
325,maidenhead,6895 ,SL9,3400000
326,maidenhead,1874 ,HP12,450000
327,maidenhead,2034 ,HP12,457500
328,maidenhead,1237 ,HP11,295000
329,maidenhead,2637 ,HP11,595000
330,maidenhead,1964 ,HP11,1500000
331,maidenhead,3320 ,HP12,1850000
332,maidenhead,1592 ,HP11,450000
333,maidenhead,1988 ,HP11,595000
334,maidenhead,2770 ,HP13,695000
335,maidenhead,2849 ,SL3,780000
336,maidenhead,1065 ,HP13,295000
337,maidenhead,4632 ,HP14,435000
338,maidenhead,1796 ,UB8,450000
339,maidenhead,1740 ,UB8,420000
340,maidenhead,3332 ,UB8,650000
341,maidenhead,2208 ,UB8,380000
342,maidenhead,3565 ,UB8,860000
343,maidenhead,1825 ,UB8,440000
344,maidenhead,13285 ,UB8,2200000
345,maidenhead,1721 ,RG40,500000
346,maidenhead,1012 ,TW18,625000
347,maidenhead,8712 ,RG40,650000
348,maidenhead,1431 ,UB10,269950
349,maidenhead,10596 ,RG4,625000
350,maidenhead,685,RG6, 2100 
351,maidenhead,1340 ,RG1,340000
352,maidenhead,2475 ,HP27,825000
353,maidenhead,10560 ,RG2,1200000
354,maidenhead,12805 ,RG1,1000000
355,maidenhead,1061 ,RG1,650000
356,maidenhead,37462 ,TW4,4500000
357,maidenhead,23172 ,UB2,6372300
358,maidenhead,16618 ,UB2,4569950
359,maidenhead,6553 ,UB2,1965900
360,maidenhead,26692 ,RG2,4400000
361,maidenhead,5666 ,GU46,750000
362,maidenhead,1448 ,GU15,350000
363,maidenhead,17987 ,RG2,3200000
364,maidenhead,1000 ,HP5,189950
365,maidenhead,2030 ,HP5,340000
366,maidenhead,1615 ,KT13,750000
367,maidenhead,2000 ,GU21,1200000
368,maidenhead,1497 ,KT14,190000
369,maidenhead,915,KT14, 4900 
370,maidenhead,4900 ,KT14,1100000
371,maidenhead,7735 ,TW3,3570000
372,maidenhead,786,KT13, 1370 
373,maidenhead,3307 ,HP27,545000
374,maidenhead,1500 ,HA1,110000
375,maidenhead,33332 ,UB6,5600000
376,maidenhead,4162 ,TW1,1100000
377,maidenhead,1921 ,UB6,500000
378,maidenhead,4141 ,GU14,975000
379,maidenhead,2160 ,TW11,1400000
380,maidenhead,33552 ,HA0,8250000
381,maidenhead,2050 ,RG7,225
382,maidenhead,206,HA3, 1500 
383,maidenhead,19618 ,RG7,225
384,maidenhead,19618 ,RG7,225
385,maidenhead,25590 ,RG7,225
386,maidenhead,1378 ,GU2,395000
387,maidenhead,2227 ,NW10,600000
388,maidenhead,2800 ,HA9,580000
389,maidenhead,1813 ,GU11,300000
390,maidenhead,2849 ,GU11,425000
391,maidenhead,1350 ,W4,950000
392,maidenhead,15077 ,NW10,3015400
393,maidenhead,2000 ,GU2,60000
394,maidenhead,1650 ,W4,1100000
395,maidenhead,1661 ,GU2,700000
396,maidenhead,3014 ,HA8,825000
397,maidenhead,1980 ,HA8,650000
398,maidenhead,8083 ,GU1,750000
399,maidenhead,710,NW9, 2034 
400,maidenhead,10572 ,AL2,3100000
401,maidenhead,1133 ,W6,450000
402,maidenhead,2067 ,RG26,225000
403,maidenhead,2008 ,GU1,800000
404,maidenhead,2182 ,SW13,1400000
405,maidenhead,2352 ,SW15,850000
