,city,prop_type,prop_size,prop_desc,prop_price
44,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
45,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
46,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
47,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
48,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
49,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
50,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
51,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
52,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
53,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
54,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
55,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
56,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
57,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
58,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
59,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
60,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
61,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
62,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
63,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
64,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
65,london,1,"2,477 Sq Ft","Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","- £1,245,000.00"
66,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
67,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
68,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
69,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
70,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
71,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
72,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
73,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
74,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
75,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
76,london,1,"2,477 Sq Ft","Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","- £1,245,000.00"
77,london,1,"1,785 Sq Ft","Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","- £1,000,000.00"
78,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
79,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
80,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
81,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
82,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
83,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
84,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
85,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
86,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
87,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
88,london,1,"2,477 Sq Ft","Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","- £1,245,000.00"
89,london,1,"1,785 Sq Ft","Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","- £1,000,000.00"
90,london,1,"1,136 to 2,732 Sq Ft","Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","- £495,000.00"
91,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
92,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
93,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
94,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
95,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
96,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
97,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
98,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
99,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
100,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
101,london,1,"2,477 Sq Ft","Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","- £1,245,000.00"
102,london,1,"1,785 Sq Ft","Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","- £1,000,000.00"
103,london,1,"1,136 to 2,732 Sq Ft","Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","- £495,000.00"
104,london,1,"4,288 Sq Ft","Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","- £1,400,000.00"
105,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
106,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
107,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
108,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
109,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
110,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
111,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
112,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
113,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
114,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
115,london,1,"2,477 Sq Ft","Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","- £1,245,000.00"
116,london,1,"1,785 Sq Ft","Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","- £1,000,000.00"
117,london,1,"1,136 to 2,732 Sq Ft","Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","- £495,000.00"
118,london,1,"4,288 Sq Ft","Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","- £1,400,000.00"
119,london,1,"1,400 Sq Ft","Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",
120,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
121,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
122,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
123,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
124,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
125,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
126,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
127,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
128,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
129,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
130,london,1,"2,477 Sq Ft","Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","- £1,245,000.00"
131,london,1,"1,785 Sq Ft","Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","- £1,000,000.00"
132,london,1,"1,136 to 2,732 Sq Ft","Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","- £495,000.00"
133,london,1,"4,288 Sq Ft","Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","- £1,400,000.00"
134,london,1,"1,400 Sq Ft","Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",
135,london,1,"3,373 Sq Ft","Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",
136,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
137,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
138,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
139,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
140,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
141,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
142,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
143,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
144,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
145,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
146,london,1,"2,477 Sq Ft","Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","- £1,245,000.00"
147,london,1,"1,785 Sq Ft","Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","- £1,000,000.00"
148,london,1,"1,136 to 2,732 Sq Ft","Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","- £495,000.00"
149,london,1,"4,288 Sq Ft","Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","- £1,400,000.00"
150,london,1,"1,400 Sq Ft","Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",
151,london,1,"3,373 Sq Ft","Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",
152,london,1,"1,650 Sq Ft","Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ","- £1,100,000.00"
153,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
154,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
155,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
156,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
157,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
