,city,prop_type,prop_desc,prop_price(£),prop_size(lower) SQ Ft,prop_size(upper) SQ Ft
51,london,1,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,2906 , 8030 
52,london,1,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
53,london,1,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
54,london,1,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.00,1728 ,
55,london,1,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.00,1695 , 4645 
56,london,1,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.00,5690 ,
57,london,1,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,2158 , 4316 
58,london,1,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.00,1113 ,
59,london,1,"27 Kelso Place , Kensington, London, W8 5QG",5500000.00,5530 ,
60,london,1,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.00,1632 ,
61,london,1,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,2906 , 8030 
62,london,1,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
63,london,1,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
64,london,1,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.00,1728 ,
65,london,1,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",1245000.00,2477 ,
66,london,1,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.00,1695 , 4645 
67,london,1,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.00,5690 ,
68,london,1,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,2158 , 4316 
69,london,1,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.00,1113 ,
70,london,1,"27 Kelso Place , Kensington, London, W8 5QG",5500000.00,5530 ,
71,london,1,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.00,1632 ,
72,london,1,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,2906 , 8030 
73,london,1,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
74,london,1,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
75,london,1,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.00,1728 ,
76,london,1,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",1245000.00,2477 ,
77,london,1,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1000000.00,1785 ,
78,london,1,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.00,1695 , 4645 
79,london,1,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.00,5690 ,
80,london,1,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,2158 , 4316 
81,london,1,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.00,1113 ,
82,london,1,"27 Kelso Place , Kensington, London, W8 5QG",5500000.00,5530 ,
83,london,1,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.00,1632 ,
84,london,1,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,2906 , 8030 
85,london,1,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
86,london,1,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
87,london,1,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.00,1728 ,
88,london,1,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",1245000.00,2477 ,
89,london,1,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1000000.00,1785 ,
90,london,1,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",495000.00,1136 , 2732 
91,london,1,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.00,1695 , 4645 
92,london,1,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.00,5690 ,
93,london,1,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,2158 , 4316 
94,london,1,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.00,1113 ,
95,london,1,"27 Kelso Place , Kensington, London, W8 5QG",5500000.00,5530 ,
96,london,1,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.00,1632 ,
97,london,1,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,2906 , 8030 
98,london,1,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
99,london,1,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
100,london,1,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.00,1728 ,
101,london,1,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",1245000.00,2477 ,
102,london,1,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1000000.00,1785 ,
103,london,1,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",495000.00,1136 , 2732 
104,london,1,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",1400000.00,4288 ,
105,london,1,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.00,1695 , 4645 
106,london,1,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.00,5690 ,
107,london,1,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,2158 , 4316 
108,london,1,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.00,1113 ,
109,london,1,"27 Kelso Place , Kensington, London, W8 5QG",5500000.00,5530 ,
110,london,1,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.00,1632 ,
111,london,1,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,2906 , 8030 
112,london,1,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
113,london,1,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
114,london,1,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.00,1728 ,
115,london,1,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",1245000.00,2477 ,
116,london,1,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1000000.00,1785 ,
117,london,1,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",495000.00,1136 , 2732 
118,london,1,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",1400000.00,4288 ,
119,london,1,"Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",,1400 ,
120,london,1,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.00,1695 , 4645 
121,london,1,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.00,5690 ,
122,london,1,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,2158 , 4316 
123,london,1,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.00,1113 ,
124,london,1,"27 Kelso Place , Kensington, London, W8 5QG",5500000.00,5530 ,
125,london,1,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.00,1632 ,
126,london,1,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,2906 , 8030 
127,london,1,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
128,london,1,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
129,london,1,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.00,1728 ,
130,london,1,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",1245000.00,2477 ,
131,london,1,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1000000.00,1785 ,
132,london,1,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",495000.00,1136 , 2732 
133,london,1,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",1400000.00,4288 ,
134,london,1,"Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",,1400 ,
135,london,1,"Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",,3373 ,
136,london,1,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.00,1695 , 4645 
137,london,1,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.00,5690 ,
138,london,1,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,2158 , 4316 
139,london,1,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.00,1113 ,
140,london,1,"27 Kelso Place , Kensington, London, W8 5QG",5500000.00,5530 ,
141,london,1,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.00,1632 ,
142,london,1,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,2906 , 8030 
143,london,1,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
144,london,1,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.00,523 ,
145,london,1,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.00,1728 ,
146,london,1,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",1245000.00,2477 ,
147,london,1,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1000000.00,1785 ,
148,london,1,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",495000.00,1136 , 2732 
149,london,1,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",1400000.00,4288 ,
150,london,1,"Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",,1400 ,
151,london,1,"Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",,3373 ,
152,london,1,"Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ",1100000.00,1650 ,
153,london,1,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.00,1695 , 4645 
154,london,1,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.00,5690 ,
155,london,1,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,2158 , 4316 
156,london,1,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.00,1113 ,
157,london,1,"27 Kelso Place , Kensington, London, W8 5QG",5500000.00,5530 ,
158,london,1,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.00,1632 ,
