,prop_desc,prop_price(£),prop_size(lower) SQ Ft,prop_size(upper) SQ Ft
3705,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3706,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3707,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3708,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3709,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3710,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3711,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3712,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3713,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3714,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3715,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3716,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3717,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3718,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3719,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3720,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3721,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3722,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3723,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3724,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3725,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3726,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3727,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3728,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3729,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3730,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3731,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3732,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3733,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3734,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3735,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3736,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3737,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3738,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3739,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3740,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3741,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3742,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3743,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3744,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3745,"Unit G New Central, Guildford Road, Woking, GU22 7NJ",,"2,658 ",
3746,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3747,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3748,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3749,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3750,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3751,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3752,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3753,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3754,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3755,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3756,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3757,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3758,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3759,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3760,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3761,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3762,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3763,"Unit G New Central, Guildford Road, Woking, GU22 7NJ",,"2,658 ",
3764,"Cafe/Restaurant Investment, 85 High Street, Burnham, SL1 7JZ",249995.0,527 ,
3765,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3766,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3767,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3768,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3769,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3770,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3771,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3772,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3773,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3774,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3775,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3776,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3777,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3778,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3779,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3780,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3781,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3782,"Unit G New Central, Guildford Road, Woking, GU22 7NJ",,"2,658 ",
3783,"Cafe/Restaurant Investment, 85 High Street, Burnham, SL1 7JZ",249995.0,527 ,
3784,"Maidenhead Branch, Burnham House, High Street, Burnham, SL1 7JZ",,"7,655 ",
3785,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3786,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3787,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3788,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3789,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3790,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3791,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3792,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3793,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3794,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3795,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3796,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3797,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3798,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3799,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3800,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3801,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3802,"Unit G New Central, Guildford Road, Woking, GU22 7NJ",,"2,658 ",
3803,"Cafe/Restaurant Investment, 85 High Street, Burnham, SL1 7JZ",249995.0,527 ,
3804,"Maidenhead Branch, Burnham House, High Street, Burnham, SL1 7JZ",,"7,655 ",
3805,"78 High Street , Horsell, Woking, GU21 4SZ",,734 ,
3806,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3807,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3808,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3809,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3810,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3811,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3812,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3813,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3814,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3815,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3816,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3817,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3818,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3819,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3820,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3821,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3822,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3823,"Unit G New Central, Guildford Road, Woking, GU22 7NJ",,"2,658 ",
3824,"Cafe/Restaurant Investment, 85 High Street, Burnham, SL1 7JZ",249995.0,527 ,
3825,"Maidenhead Branch, Burnham House, High Street, Burnham, SL1 7JZ",,"7,655 ",
3826,"78 High Street , Horsell, Woking, GU21 4SZ",,734 ,
3827,"Maidenhead Branch, Unit 7 Lake End Court, Taplow, Maidenhead, SL6 0JQ",,"2,405 ",
3828,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3829,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3830,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3831,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3832,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3833,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3834,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3835,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3836,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3837,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3838,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3839,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3840,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3841,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3842,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3843,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3844,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3845,"Unit G New Central, Guildford Road, Woking, GU22 7NJ",,"2,658 ",
3846,"Cafe/Restaurant Investment, 85 High Street, Burnham, SL1 7JZ",249995.0,527 ,
3847,"Maidenhead Branch, Burnham House, High Street, Burnham, SL1 7JZ",,"7,655 ",
3848,"78 High Street , Horsell, Woking, GU21 4SZ",,734 ,
3849,"Maidenhead Branch, Unit 7 Lake End Court, Taplow, Maidenhead, SL6 0JQ",,"2,405 ",
3850,"2 Batford Mill Lower Luton Road, Harpenden, AL5 5BZ",799500.0,"5,506 ",
3851,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3852,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3853,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3854,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3855,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3856,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3857,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3858,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3859,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3860,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3861,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3862,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3863,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3864,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3865,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3866,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3867,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3868,"Unit G New Central, Guildford Road, Woking, GU22 7NJ",,"2,658 ",
3869,"Cafe/Restaurant Investment, 85 High Street, Burnham, SL1 7JZ",249995.0,527 ,
3870,"Maidenhead Branch, Burnham House, High Street, Burnham, SL1 7JZ",,"7,655 ",
3871,"78 High Street , Horsell, Woking, GU21 4SZ",,734 ,
3872,"Maidenhead Branch, Unit 7 Lake End Court, Taplow, Maidenhead, SL6 0JQ",,"2,405 ",
3873,"2 Batford Mill Lower Luton Road, Harpenden, AL5 5BZ",799500.0,"5,506 ",
3874,"Shop With Flat Above Investment, 4 Station Parade, Beaconsfield, HP9 2PB",750000.0,"1,083 ",
3875,"Plot A, 225 Bath Road, Slough, SL1 4AU",,29198 ,
3876,"The Old Barn, Bennetts Close, Slough, SL1 5AP",,"3,050 ",
3877,"Harlow Science Park, London Road, Harlow, CM17",,"5,000 "," 100,000 "
3878,"Unit 2 , 6 West Road , Harlow, CM20 2DU",420000.0,"1,086 "," 2,384 "
3879,"Established Fish & Chip Shop, 22 Cippenham Lane, Slough, SL1 5BS",55000.0,479 ,
3880,"151-152 , Maybury Road, Woking, GU21 5JR",,"4,713 ",
3881,"D&B Opportunities in Harlow , Midas, River Way, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3882,"Midas, Riverway, Harlow, CM20 2EA",,"56,000 "," 120,000 "
3883,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU",1500000.0,"16,873 ",
3884,"Faith/Community Site Westvale Park, Horley, RH6 0HJ",150000.0,19610 ,
3885,"Public House/Restaurant Site Westvale Park, Horley, RH6 0HJ",,13074 ,
3886,"4 Office Suites Westvale Park, Horley, RH6 0HJ",,"1,258 "," 5,385 "
3887,"Medical Facility To Let, Medical Facility Westvale Park, Horley, RH6 0HJ",,"5,326 ",
3888,"37 Chertsey Road, Woking, GU21 5AJ",1200000.0,"2,000 ",
3889,"Commercial Premises With A4 Consent, 12 Chertsey Road, Woking, GU21 5AB",1050000.0,"7,890 ",
3890,"Commercial Premises Suitable For A Variety Of Uses, 1 & 2 Manor Way, Woking, GU22 9JX",,"31,196 ",
3891,"Shop In Very Prominent Position, 1 London End, Beaconsfield, HP9 2HN",575000.0,684 ,
3892,"Unit G New Central, Guildford Road, Woking, GU22 7NJ",,"2,658 ",
3893,"Cafe/Restaurant Investment, 85 High Street, Burnham, SL1 7JZ",249995.0,527 ,
3894,"Maidenhead Branch, Burnham House, High Street, Burnham, SL1 7JZ",,"7,655 ",
3895,"78 High Street , Horsell, Woking, GU21 4SZ",,734 ,
3896,"Maidenhead Branch, Unit 7 Lake End Court, Taplow, Maidenhead, SL6 0JQ",,"2,405 ",
3897,"2 Batford Mill Lower Luton Road, Harpenden, AL5 5BZ",799500.0,"5,506 ",
3898,"Shop With Flat Above Investment, 4 Station Parade, Beaconsfield, HP9 2PB",750000.0,"1,083 ",
3899,"Partly Cleared Land For Sale, Botley Road, Chesham, HP5 1XS",925000.0,305050 ,
3900,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3901,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3902,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3903,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3904,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3905,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3906,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3907,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3908,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3909,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3910,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3911,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3912,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3913,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3914,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3915,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3916,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3917,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3918,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3919,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3920,"Office Building With Open Plan Offices, Unit 9, The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"2,520 ",
3921,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3922,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3923,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3924,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3925,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3926,"Office Building With Open Plan Offices, Unit 9, The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"2,520 ",
3927,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3928,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3929,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3930,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3931,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3932,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3933,"Office Building With Open Plan Offices, Unit 9, The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"2,520 ",
3934,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3935,"Maidenhead Branch, Units 5 & 6, The Courtyard, Glory Park, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3936,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3937,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3938,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3939,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3940,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3941,"Office Building With Open Plan Offices, Unit 9, The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"2,520 ",
3942,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3943,"Maidenhead Branch, Units 5 & 6, The Courtyard, Glory Park, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3944,"Maidenhead Branch, Unit 9 The Courtyard, Glory Park, Loudwater, HP10 0DG",,"2,520 ",
3945,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3946,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3947,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3948,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3949,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3950,"Office Building With Open Plan Offices, Unit 9, The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"2,520 ",
3951,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3952,"Maidenhead Branch, Units 5 & 6, The Courtyard, Glory Park, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3953,"Maidenhead Branch, Unit 9 The Courtyard, Glory Park, Loudwater, HP10 0DG",,"2,520 ",
3954,"Modern Office Accommodation, Building 10 The Courtyard, Glory Park, Wycombe Lan, Loudwater, HP10 0DG",,"3,363 ",
3955,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3956,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3957,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3958,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3959,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3960,"Office Building With Open Plan Offices, Unit 9, The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"2,520 ",
3961,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3962,"Maidenhead Branch, Units 5 & 6, The Courtyard, Glory Park, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3963,"Maidenhead Branch, Unit 9 The Courtyard, Glory Park, Loudwater, HP10 0DG",,"2,520 ",
3964,"Modern Office Accommodation, Building 10 The Courtyard, Glory Park, Wycombe Lan, Loudwater, HP10 0DG",,"3,363 ",
3965,"Office Premises To Let, Building 8 The Courtyard, Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"4,341 ",
3966,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3967,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3968,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3969,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3970,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3971,"Office Building With Open Plan Offices, Unit 9, The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"2,520 ",
3972,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3973,"Maidenhead Branch, Units 5 & 6, The Courtyard, Glory Park, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3974,"Maidenhead Branch, Unit 9 The Courtyard, Glory Park, Loudwater, HP10 0DG",,"2,520 ",
3975,"Modern Office Accommodation, Building 10 The Courtyard, Glory Park, Wycombe Lan, Loudwater, HP10 0DG",,"3,363 ",
3976,"Office Premises To Let, Building 8 The Courtyard, Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"4,341 ",
3977,"Offices With On Site Parking, Building 11 The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"3,439 ",
3978,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3979,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3980,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3981,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
3982,"New Build A1 Retail Unit For Sale, Updown Hill, Windlesham, GU20 6AF",,453 ,
3983,"Office Building With Open Plan Offices, Unit 9, The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"2,520 ",
3984,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3985,"Maidenhead Branch, Units 5 & 6, The Courtyard, Glory Park, Loudwater, HP10 0DG",,"1,830 "," 3,920 "
3986,"Maidenhead Branch, Unit 9 The Courtyard, Glory Park, Loudwater, HP10 0DG",,"2,520 ",
3987,"Modern Office Accommodation, Building 10 The Courtyard, Glory Park, Wycombe Lan, Loudwater, HP10 0DG",,"3,363 ",
3988,"Office Premises To Let, Building 8 The Courtyard, Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"4,341 ",
3989,"Offices With On Site Parking, Building 11 The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"3,439 ",
3990,"Office Building With Modern Offices, Building 7 The Courtyard Glory Park, Wycombe Lane, Loudwater, HP10 0DG",,"3,250 ",
3991,"27 Bell Street, Sawbridgeworth, CM21 9AR",,600 ,
3992,"9A St John's Road, St John's, Woking, GU21 7SE",185000.0,482 ,
3993,"77/79 Windsor Road, Maidenhead, SL6 2DN",,522 ,
3994,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
