,prop_desc,prop_price(£),prop_size(lower) SQ Ft,prop_size(upper) SQ Ft
52,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
53,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
54,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
55,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
56,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
57,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
58,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
59,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
60,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
61,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
62,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
63,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
64,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
65,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
66,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
67,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
68,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
69,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
70,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
71,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
72,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
73,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
74,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
75,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
76,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
77,"A3/A4 Unit To Let or For Sale, 348 Coldharbour Lane, Brixton, SW9 8QH",550000.0,560 ,
